id,GivenName,FamilyName,Phone,Email,Birthdate,Company,StreetAddress,City,ZipCode,Region,Country,Latitude,Longitude
10001,Sylvia,Whitfield,365-4227,pede@Sed.edu,05/05/19,Ullamcorper Eu Associates,3265 Orci Street,Fort Wayne,B9E 8RU,Indiana,South Sudan,-86.41375,-105.97494
10002,Yoshio E.,May,1-771-899-2972,sociosqu@orciUtsagittis.co.uk,07/29/17,Ut Nulla Cras LLC,6362 Nisl. Rd.,Vienna,4581,Vienna,Tuvalu,-45.83732,18.64839
10003,Adena,Mckay,742-1170,cursus.in@ornarelectus.org,07/02/19,Arcu Eu Odio Incorporated,129-868 Non St.,Alcobendas,7747,Madrid,Netherlands,65.61868,-173.51865
10004,Jorden J.,Swanson,1-871-388-9281,Praesent.eu.dui@fringilla.edu,02/06/18,Non Massa Non LLC,198-8503 Sed St.,Columbus,6099,OH,Canada,89.41469,163.65964
10005,Sara G.,Lewis,434-8163,amet@nonsollicitudin.co.uk,05/20/19,Orci Corporation,Ap #579-4274 Maecenas Rd.,Dublin,52208,L,Nigeria,3.34333,-28.34472
10006,Walter L.,Durham,687-7463,amet@ultrices.ca,08/11/17,Turpis LLC,"Ap #389-9282 Ac, Rd.",Cuenca,35531-749,CM,Gabon,39.96585,-152.63678
10007,Fulton,Wilkins,556-5898,vitae@Sedid.com,07/14/18,Arcu Sed LLP,Ap #668-6458 Non Road,Timon,29939,Maranhão,Svalbard and Jan Mayen Islands,-86.66462,137.77153
10008,Julie Y.,Glass,1-822-755-1219,odio.vel.est@ipsum.net,10/05/17,Risus Corporation,"Ap #459-7421 Ut, Avenue",Queanbeyan,48658,NSW,Tanzania,78.91647,-14.20174
10009,Hiram,Greene,242-8580,gravida@Fuscedolorquam.co.uk,08/09/18,Purus Sapien Gravida Associates,Ap #314-6556 Donec Rd.,North Shore,218199,NI,Costa Rica,-70.73895,-130.67316
10010,Kylan,Parrish,421-9436,amet.luctus.vulputate@laoreet.ca,08/12/18,Nisl LLP,8279 A Road,Otukpo,6700,Benue,China,-67.21494,-24.76589
10011,Leslie Y.,Grimes,586-0096,nisl.arcu.iaculis@Maecenasmalesuada.co.uk,11/30/18,Pede Associates,337 Mus. St.,Sioux City,2329,IA,Yemen,63.66254,77.99742
10012,Robin O.,Miles,478-6755,ante@sodales.net,11/21/17,Velit Aliquam Industries,722-6415 Morbi Street,Freirina,88-531,III,"Congo, the Democratic Republic of the",-67.44869,28.0434
10013,Chantale,Shepherd,1-220-708-1028,ut.aliquam.iaculis@lacuspede.org,03/10/18,Parturient Montes Consulting,"P.O. Box 427, 7446 Pharetra Av.",San Francisco,628878,Heredia,Norfolk Island,-10.47009,-25.19822
